02136 + HYDE PARK,"$           3,281,852"
02136 + READVILLE,"$           1,351,592"
02138 + CAMBRIDGE,"$              611,527"
02139 + CAMBRIDGE,"$           2,147,084"
02140 + CAMBRIDGE,"$           1,620,022"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
02142 + CAMBRIDGE,"$                 19,637"
02143 + SOMERVILLE,"$           4,032,680"
02144 + SOMERVILLE,"$           3,119,283"
02145 + SOMERVILLE,"$           5,043,892"
02148 + MALDEN,"$         12,633,305"
02149 + EVERETT,"$           6,400,891"
02150 + CHELSEA,"$           5,096,921"
02151 + REVERE,"$           7,587,927"
02152 + WINTHROP,"$           1,845,310"
02155 + MEDFORD,"$           5,058,824"
02169 + QUINCY,"$         15,979,573"
02170 + QUINCY,"$           1,923,387"
02170 + WOLLASTON,"$              111,334"
02171 + N QUINCY,"$                   1,417"
02171 + QUINCY,"$           2,464,766"
02171 + SQUANTUM,"$              201,799"
02176 + MELROSE,"$              319,393"
02180 + STONEHAM,"$           1,213,791"
02184 + BRAINTREE,"$           5,650,092"
02186 + MILTON,"$              177,462"
02188 + WEYMOUTH,"$           1,820,626"
02189 + WEYMOUTH,"$           5,245,731"
02190 + S WEYMOUTH,"$                 25,908"
02190 + WEYMOUTH,"$           5,015,718"
02191 + WEYMOUTH,"$           1,887,894"
02199 + BOSTON,"$                 31,368"
02203 + BOSTON,"$                 26,679"
02205 + BOSTON,"$              189,044"
02210 + BOSTON,"$                 80,948"
02215 + BOSTON,"$              586,537"
02222 + BOSTON,"$                 15,155"
02301 + BROCKTON,"$           8,520,086"
02302 + BROCKTON,"$           2,730,792"
02322 + AVON,"$           1,103,051"
02324 + BRIDGEWATER,"$           1,987,287"
02327 + PEMBROKE,"$              361,383"
02330 + CARVER,"$           1,669,459"
02331 + DUXBURY,"$                 46,885"
02332 + DUXBURY,"$                 56,874"
02333 + E BRIDGEWATER,"$           2,288,401"
02338 + HALIFAX,"$           1,941,353"
02339 + HANOVER,"$           2,295,364"
02341 + HANSON,"$           2,068,424"
02343 + HOLBROOK,"$           2,330,107"
02345 + MANOMET,"$              799,523"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
02347 + LAKEVILLE,"$              771,182"
02351 + ABINGTON,"$           6,209,862"
02356 + EASTON,"$              219,612"
02356 + N EASTON,"$              816,524"
02359 + PEMBROKE,"$           2,667,244"
02360 + PLYMOUTH,"$           4,407,072"
02364 + KINGSTON,"$           3,393,482"
02366 + CARVER,"$                 37,907"
02367 + PLYMPTON,"$                 76,515"
02368 + RANDOLPH,"$           4,396,973"
02370 + ROCKLAND,"$           6,346,143"
02375 + EASTON,"$              395,187"
02375 + S EASTON,"$              932,281"
02379 + W BRIDGEWATER,"$           1,823,060"
02381 + WHITE HORSE BCH,"$                   5,566"
02382 + WHITMAN,"$           1,902,406"
02420 + LEXINGTON,"$              844,830"
02421 + LEXINGTON,"$              155,180"
02445 + BROOKLINE,"$              307,059"
02446 + BROOKLINE,"$              370,204"
02451 + WALTHAM,"$           3,709,553"
02452 + WALTHAM,"$           1,907,183"
02453 + WALTHAM,"$           4,360,685"
02454 + WALTHAM,"$              147,830"
02458 + NEWTON,"$           1,224,794"
02459 + NEWTON,"$                 57,452"
02460 + NEWTON,"$              409,123"
02461 + NEWTON,"$              670,276"
02464 + NEWTON,"$              247,858"
02465 + NEWTON,"$                 64,682"
02465 + W NEWTON,"$              275,298"
02466 + AUBURNDALE,"$              110,801"
02466 + NEWTON,"$                 11,409"
02467 + CHESTNUT HILL,$                            -
02467 + NEWTON,"$                 13,193"
02467 + W ROXBURY,"$                 58,610"
02472 + WATERTOWN,"$           7,588,161"
02474 + ARLINGTON,"$           2,750,077"
02476 + ARLINGTON,"$              986,038"
02478 + BELMONT,"$              381,899"
02481 + WELLESLEY,"$                 16,080"
02482 + WELLESLEY,"$                 43,693"
02492 + NEEDHAM,"$              108,514"
02493 + WESTON,"$                 25,035"
02494 + NEEDHAM,"$              193,206"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
02532 + BUZZARDS BAY,"$              486,198"
02534 + CATAUMET,"$              216,779"
02536 + E FALMOUTH,"$           1,462,405"
02536 + FALMOUTH,"$              222,428"
02536 + TEATICKET,"$              102,870"
02537 + SANDWICH,$                      792
02538 + E WAREHAM,"$           1,101,443"
02538 + WAREHAM,"$           1,231,287"
02539 + EDGARTOWN,"$              103,651"
02540 + FALMOUTH,"$           1,904,395"
02543 + WOODS HOLE,"$                 13,811"
02553 + MONUMENT BEACH,"$                   6,393"
02554 + NANTUCKET,"$           1,599,611"
02556 + FALMOUTH,"$                   5,246"
02556 + N FALMOUTH,"$                 31,341"
02557 + OAK BLUFFS,"$              576,142"
02558 + ONSET,"$              977,201"
02559 + POCASSET,"$              156,894"
02561 + SAGAMORE,"$                 72,882"
02562 + SAGAMORE BEACH,"$              136,100"
02563 + SANDWICH,"$           1,477,806"
02568 + VINEYARD HAVEN,"$              454,770"
02571 + WAREHAM,"$              665,248"
02575 + W TISBURY,$                      356
02576 + W WAREHAM,"$           1,137,757"
02576 + WAREHAM,"$                 81,956"
02601 + HYANNIS,"$           3,635,835"
02631 + BREWSTER,"$                 26,282"
02632 + CENTERVILLE,"$              443,578"
02633 + CHATHAM,"$                 26,884"
02635 + COTUIT,"$              573,180"
02638 + DENNIS,$                            -
02639 + DENNISPORT,"$              297,456"
02641 + DENNIS,$                            -
02642 + EASTHAM,"$              322,921"
02644 + FORESTDALE,"$              672,504"
02645 + HARWICH,"$              267,189"
02646 + HARWICH,"$              554,943"
02646 + HARWICHPORT,"$              536,478"
02648 + MARSTONS MILLS,"$                 96,335"
02649 + MASHPEE,"$           2,228,217"
02650 + CHATHAM,"$                 32,111"
02651 + EASTHAM,"$              423,440"
02651 + N EASTHAM,"$                 56,658"
02653 + ORLEANS,"$                 81,660"
Mass. Lottery KENO Sales by ZIP - 2013,Sales
02657 + PROVINCETOWN,"$              364,713"
02659 + S CHATHAM,"$                   4,435"
02660 + DENNIS,$                            -
02660 + S DENNIS,"$           1,425,801"
02662 + ORLEANS,"$                   2,569"
02664 + S YARMOUTH,"$           1,618,969"
02664 + YARMOUTH,"$              592,057"
02667 + WELLFLEET,"$                   8,383"
02668 + BARNSTABLE,$                            -
02668 + W BARNSTABLE,"$              114,301"
02669 + W CHATHAM,"$                   4,036"
02670 + DENNIS,$                            -
02670 + W DENNIS,"$              529,464"
02671 + HARWICH,"$                   1,144"
02671 + W HARWICH,"$              236,625"
02673 + W YARMOUTH,"$           1,535,256"
02673 + YARMOUTH,"$              196,590"
02675 + YARMOUTH,"$              240,367"
02675 + YARMOUTH PORT,$                      182
